keyword,volume,kd_percent,cpc_usd,opportunity_score,suggested_url,status
personal trainer manchester uk,1000,15,3.46,850,/online-personal-trainer/manchester,not_started
personal trainer bristol,590,10,1.03,531,/online-personal-trainer/bristol,not_started
personal trainer bournemouth,390,11,0.93,347,/online-personal-trainer/bournemouth,not_started
personal trainer northampton,320,11,1.14,285,/online-personal-trainer/northampton,not_started
personal fitness trainer nottingham,320,13,0.99,278,/online-personal-trainer/personal-nottingham,not_started
personal trainer brighton,320,15,1.29,272,/online-personal-trainer/brighton,not_started
personal trainer cambridge,320,15,0.99,272,/online-personal-trainer/cambridge,not_started
fitness trainer cardiff,320,15,1.02,272,/online-personal-trainer/cardiff,not_started
personal trainer southampton,260,12,1.05,229,/online-personal-trainer/southampton,not_started
personal trainer coventry uk,260,13,1.06,226,/online-personal-trainer/coventry,not_started
personal trainer york,260,14,0.92,224,/online-personal-trainer/york,not_started
personal trainers birmingham uk,210,9,0.87,191,/online-personal-trainer/birmingham,not_started
norwich personal trainer,210,11,0.93,187,/online-personal-trainer/norwich,not_started
personal trainer aberdeen,210,12,0.75,185,/online-personal-trainer/aberdeen,not_started
personal trainer watford,210,12,1.1,185,/online-personal-trainer/watford,not_started
personal trainer reading uk,210,12,1,185,/online-personal-trainer/reading,not_started
fitness trainer northampton,210,14,1.14,181,/online-personal-trainer/northampton,not_started
personal trainers in manchester,210,15,3.46,179,/online-personal-trainer/manchester,not_started
female personal trainer london,210,15,2.58,179,/online-personal-trainer/female-london,not_started
personal trainer leicestershire,170,9,0.92,155,/online-personal-trainer/leicestershire,not_started
personal trainer southampton uk,170,9,1.05,155,/online-personal-trainer/southampton,not_started
personal trainer canterbury,170,9,0.74,155,/online-personal-trainer/canterbury,not_started
personal training cardiff,170,9,1.02,155,/online-personal-trainer/cardiff,not_started
personal training bournemouth,170,10,1.14,153,/online-personal-trainer/bournemouth,not_started
personal trainer kensington,170,11,4.14,151,/online-personal-trainer/kensington,not_started
personal trainer bedford,170,11,0.88,151,/online-personal-trainer/bedford,not_started
personal trainer birmingham uk,170,12,0.87,150,/online-personal-trainer/birmingham,not_started
fitness trainer aberdeen,170,12,0.91,150,/online-personal-trainer/aberdeen,not_started
personal trainer croydon,170,13,1.04,148,/online-personal-trainer/croydon,not_started
personal trainer poole,170,13,0.79,148,/online-personal-trainer/poole,not_started
personal trainer kent,140,9,0.96,127,/online-personal-trainer/kent,not_started
personal trainer slough,140,9,0.96,127,/online-personal-trainer/slough,not_started
aberdeen personal trainer,140,11,0.84,125,/online-personal-trainer/aberdeen,not_started
personal training bristol,140,12,1.03,123,/online-personal-trainer/bristol,not_started
personal trainer cambridge uk,140,13,0.99,122,/online-personal-trainer/cambridge,not_started
personal trainer worcester,140,13,0.68,122,/online-personal-trainer/worcester,not_started
personal trainer york uk,140,13,0.92,122,/online-personal-trainer/york,not_started
personal fitness trainer worcester,140,13,0.68,122,/online-personal-trainer/personal-worcester,not_started
personal trainer oxford uk,140,15,1.57,119,/online-personal-trainer/oxford,not_started
personal trainers birmingham,140,15,0.8,119,/online-personal-trainer/birmingham,not_started
birmingham personal trainer,140,15,0.8,119,/online-personal-trainer/birmingham,not_started
personal trainer poole dorset,110,9,0.79,100,/online-personal-trainer/poole-dorset,not_started
personal trainer norwich uk,110,10,0.93,99,/online-personal-trainer/norwich,not_started
personal trainers exeter,110,10,1.13,99,/online-personal-trainer/exeter,not_started
personal trainer chelmsford uk,110,11,0.99,98,/online-personal-trainer/chelmsford,not_started
personal trainer portsmouth uk,110,11,0.95,98,/online-personal-trainer/portsmouth,not_started
personal trainer chelmsford,110,12,1.69,97,/online-personal-trainer/chelmsford,not_started
personal trainer bradford west yorkshire,110,12,0.78,97,/online-personal-trainer/bradford-west-yorkshire,not_started
personal trainers nottingham,110,12,0.86,97,/online-personal-trainer/nottingham,not_started
manchester trainer,110,12,0.5,97,/online-personal-trainer/manchester,not_started
fitness trainer slough,110,13,0.96,96,/online-personal-trainer/slough,not_started
personal trainers in birmingham,110,14,0.8,95,/online-personal-trainer/birmingham,not_started
personal trainer bath uk,110,15,0.98,94,/online-personal-trainer/bath,not_started
personal trainer ilford,90,9,1.78,82,/online-personal-trainer/ilford,not_started
personal trainer redhill,90,9,1.22,82,/online-personal-trainer/redhill,not_started
personal trainers in cardiff,90,10,0.74,81,/online-personal-trainer/cardiff,not_started
personal trainer canterbury uk,90,10,0.88,81,/online-personal-trainer/canterbury,not_started
personal trainer essex,90,12,1.17,79,/online-personal-trainer/essex,not_started
personal trainer southend,90,12,0.79,79,/online-personal-trainer/southend,not_started
personal trainer stratford london,90,12,1.78,79,/online-personal-trainer/stratford-london,not_started
cardiff personal trainer,90,13,0.74,78,/online-personal-trainer/cardiff,not_started
personal trainer prices london,90,13,1.23,78,/online-personal-trainer/prices-london,not_started
